30,435
78,2998
126,7839
174,14989
222,24422
270,36122
318,50120
366,66417
414,84975
462,105802
510,128960
558,154286
606,182061
654,211914
702,244229
750,278747
798,315429
846,354558
894,395862
942,439580
30,435
78,2998
126,7839
174,14989
222,24422
270,36122
318,50120
366,66417
414,84975
462,105802
510,128960
558,154286
606,182061
654,211914
702,244229
750,278747
798,315429
846,354558
894,395862
942,439580
