30,135
39,188
48,223
57,341
66,343
75,499
84,452
93,579
102,638
111,813
120,853
129,977
138,940
147,999
156,1388
165,1256
174,1414
183,1324
192,1626
201,1828
210,1697
219,1922
228,1771
237,2089
246,1955
255,2141
264,2181
273,2382
282,2385
291,2381
300,2489
309,2510
318,2662
327,2871
336,3187
345,2884
354,3203
363,3603
372,3420
381,3101
390,3747
399,3815
408,3924
417,3826
426,3833
435,3921
444,3924
453,4322
462,4647
471,4747
480,4526
489,4627
498,5529
507,4782
516,4646
525,5339
534,5179
543,5013
552,5886
561,6361
570,5567
579,6362
588,5856
597,5967
606,5456
615,5805
624,6341
633,7041
642,6067
651,7152
660,7239
669,6663
678,7529
687,7043
696,7701
705,7390
714,8111
723,7736
732,7711
741,8346
750,7747
759,7735
768,8665
777,8209
786,8043
795,8719
804,8447
813,8627
822,8190
831,8520
840,8556
849,8642
858,8782
867,8608
876,9357
885,9137
894,9670
903,10497
912,9817
921,10293
